Date,Price,Open,High,Low,Volume,Change %
4/25/2022,"96,000","100,000","100,000","96,000",1.50K,-8.48%
4/22/2022,"104,900","101,000","104,900","98,500",1.21K,1.55%
4/21/2022,"103,300","102,000","103,300","102,000",1.00K,-0.10%
4/20/2022,"103,400","96,000","105,000","96,000",0.80K,0.29%
4/19/2022,"103,100","102,100","103,100","102,000",2.40K,-1.81%
4/18/2022,"105,000","105,000","105,000","101,200",1.30K,-1.87%
4/15/2022,"107,000","105,000","107,000","104,500",4.70K,-0.83%
4/14/2022,"107,900","108,000","108,000","104,000",2.80K,-0.09%
4/13/2022,"108,000","108,000","108,000","108,000",0.11K,0.09%
4/12/2022,"107,900","105,000","107,900","105,000",1.10K,-0.09%
4/8/2022,"108,000","108,000","108,000","107,000",10.20K,0.00%
4/7/2022,"108,000","108,000","108,000","107,900",2.00K,0.00%
4/6/2022,"108,000","108,000","108,000","108,000",0.60K,0.00%
4/5/2022,"108,000","109,000","109,000","106,000",9.80K,-1.91%
4/4/2022,"110,100","110,100","110,100","110,000",8.22K,0.09%
4/1/2022,"110,000","107,700","110,400","107,700",3.30K,2.14%
3/31/2022,"107,700","107,500","107,800","107,200",5.20K,0.19%
3/30/2022,"107,500","107,500","108,000","107,500",3.02K,0.47%
3/29/2022,"107,000","108,800","108,800","107,000",5.10K,0.00%
3/28/2022,"107,000","110,500","110,500","106,000",3.80K,-2.46%
3/25/2022,"109,700","110,300","110,300","109,700",0.50K,-0.54%
3/24/2022,"110,300","110,500","110,500","110,000",3.71K,-4.91%
3/23/2022,"116,000","116,000","116,000","116,000",5.60K,0.00%
3/22/2022,"116,000","116,200","116,400","116,000",6.82K,0.00%
3/21/2022,"116,000","114,500","116,500","114,000",19.23K,1.67%
3/18/2022,"114,100","114,100","115,000","114,100",1.34K,0.09%
3/17/2022,"114,000","115,000","115,000","114,000",1.11K,0.00%
3/16/2022,"114,000","114,600","114,700","114,000",1.61K,-0.52%
3/15/2022,"114,600","113,500","119,900","113,000",2.20K,-0.09%
3/14/2022,"114,700","114,000","114,700","112,500",4.60K,0.00%
3/11/2022,"114,700","119,400","119,400","114,500",1.01K,-3.94%
3/10/2022,"119,400","120,600","120,600","119,400",0.30K,0.25%
3/8/2022,"119,100","120,000","123,800","119,000",3.41K,4.02%
3/7/2022,"114,500","114,000","114,500","114,000",1.70K,0.79%
3/4/2022,"113,600","114,000","114,000","113,600",0.30K,-0.35%
3/3/2022,"114,000","114,000","114,000","114,000",1.10K,1.15%
3/2/2022,"112,700","112,900","112,900","112,700",0.92K,-0.27%
3/1/2022,"113,000","113,000","113,000","113,000",0.13K,0.00%
2/28/2022,"113,000","113,000","113,000","113,000",0.65K,-0.88%
2/25/2022,"114,000","111,000","114,000","111,000",2.20K,1.79%
2/24/2022,"112,000","112,000","112,000","112,000",0.50K,0.00%
2/23/2022,"112,000","112,000","112,000","112,000",0.10K,1.82%
2/21/2022,"110,000","110,000","110,000","110,000",0.10K,3.77%
2/15/2022,"106,000","106,000","106,000","106,000",0.10K,-3.64%
2/14/2022,"110,000","110,000","110,000","110,000",0.50K,0.00%
2/8/2022,"110,000","109,900","110,000","109,900",0.31K,0.09%
2/7/2022,"109,900","109,900","109,900","109,900",0.10K,0.00%
1/28/2022,"109,900","105,000","110,000","105,000",0.31K,-0.09%
1/26/2022,"110,000","110,000","110,000","110,000",0.40K,-0.81%
1/21/2022,"110,900","110,900","110,900","110,900",0.35K,2.69%
1/20/2022,"108,000","108,000","108,000","108,000",0.10K,0.00%
1/19/2022,"108,000","108,000","108,000","108,000",0.10K,0.00%
1/18/2022,"108,000","108,000","108,000","108,000",0.40K,-4.26%
1/17/2022,"112,800","114,000","114,000","105,100",0.45K,-1.05%
1/14/2022,"114,000","114,000","114,000","114,000",0.10K,9.62%
1/13/2022,"104,000","110,000","114,000","104,000",8.20K,-5.45%
1/10/2022,"110,000","110,100","116,000","105,200",3.40K,-5.17%
1/5/2022,"116,000","116,000","116,000","116,000",0.10K,0.00%
1/4/2022,"116,000","104,800","116,000","104,800",2.51K,2.65%
12/28/2021,"113,000","113,000","113,000","113,000",0.22K,0.00%
12/27/2021,"113,000","113,000","113,000","113,000",0.70K,2.73%
12/23/2021,"110,000","110,000","110,000","110,000",0.20K,-2.65%
12/22/2021,"113,000","110,000","113,000","110,000",1.10K,1.25%
12/21/2021,"111,600","111,600","111,600","111,600",0.20K,-0.80%
12/17/2021,"112,500","110,000","112,500","110,000",0.42K,-3.02%
