"Date","Price","Open","High","Low","Vol.","Change %"
"07/14/2020","71,000","71,000","71,000","71,000","0.50K","2.16%"
"07/13/2020","69,500","72,000","72,500","69,500","2.20K","-3.47%"
"07/09/2020","72,000","71,000","72,000","71,000","2.92K","1.41%"
"07/08/2020","71,000","70,000","72,000","70,000","5.22K","0.00%"
"07/07/2020","71,000","71,000","71,000","69,000","3.20K","0.00%"
"07/06/2020","71,000","69,500","71,000","68,000","4.46K","0.00%"
"07/03/2020","71,000","68,000","71,000","68,000","1.10K","4.41%"
"07/02/2020","68,000","67,900","68,000","67,900","0.76K","0.00%"
"07/01/2020","68,000","68,000","68,500","68,000","6.50K","0.74%"
"06/30/2020","67,500","65,900","67,500","65,900","11.55K","2.27%"
"06/29/2020","66,000","66,000","66,000","65,000","3.95K","-2.94%"
"06/25/2020","68,000","67,700","68,000","67,300","1.31K","0.00%"
"06/24/2020","68,000","68,000","68,000","68,000","0.30K","0.00%"
"06/23/2020","68,000","70,000","70,000","68,000","1.10K","-0.73%"
